state,name,visibility,archived,default_branch,pushed_at,primary_language,license_spdx,description_present,open_prs,ci_latest,forbidden_link_scan,findings_critical,findings_high,findings_total
ACTIVE,szl-invariants,PUBLIC,False,main,2026-08-31T19:55:13Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-kernels,PUBLIC,False,main,2026-08-31T19:54:55Z,TeX,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-kernels-live,PUBLIC,True,main,2026-08-18T00:24:31Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-khipu,PUBLIC,False,main,2026-08-31T19:12:28Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-lake,PUBLIC,False,main,2026-08-31T19:55:01Z,Python,cc-by-4.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-lambda-gate,PUBLIC,False,main,2026-08-31T12:20:32Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-maskmod,PUBLIC,False,main,2026-08-30T21:17:19Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-mesh,PUBLIC,True,main,2026-08-26T13:49:48Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-nemo,PUBLIC,False,main,2026-08-29T00:13:14Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-org-health,PRIVATE,False,main,2026-08-31T04:40:30Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-organ-integrity,PUBLIC,True,main,2026-08-29T03:11:59Z,HTML,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,szl-otel-mesh,PUBLIC,True,main,2026-07-17T15:11:02Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-ouroboros,PUBLIC,False,main,2026-08-31T19:55:09Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-papers,PUBLIC,False,main,2026-08-31T04:51:14Z,TeX,cc-by-4.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-platform,PRIVATE,False,main,2026-08-31T20:09:39Z,Python,apache-2.0,no,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-provctl,PUBLIC,False,main,2026-08-30T21:17:10Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-provctl-live,PUBLIC,True,main,2026-08-18T00:23:15Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-quant,PUBLIC,False,main,2026-08-31T18:36:12Z,JavaScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-quant-witness,PUBLIC,False,main,2026-08-31T20:23:59Z,JavaScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-real-estate,PUBLIC,False,main,2026-08-31T01:41:09Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-receipt,PUBLIC,False,main,2026-08-31T19:15:05Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-receipt-attn,PUBLIC,False,main,2026-08-31T19:55:20Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-router,PUBLIC,True,main,2026-08-26T13:47:06Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-second-brain,PUBLIC,False,main,2026-08-31T04:51:27Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-serve,PUBLIC,False,main,2026-08-31T04:51:15Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-sovereign-os,PUBLIC,False,main,2026-08-30T23:11:25Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ACTIVE,szl-substrate,PUBLIC,False,main,2026-08-31T19:12:16Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-telemetry,PUBLIC,True,main,2026-08-29T06:37:05Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-trust,PUBLIC,False,main,2026-08-31T19:57:23Z,Python,cc-by-4.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
ARCHIVED,szl-uds-deployment,PUBLIC,True,main,2026-07-01T22:05:30Z,Shell,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,szl-v14,PRIVATE,False,main,2026-08-31T13:24:46Z,Python,UNKNOWN,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,uds-bundles,PUBLIC,True,main,2026-06-30T01:19:53Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,vsp-otel,PUBLIC,True,main,2026-08-26T13:49:32Z,TypeScript,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ARCHIVED,warhacker-demo,PUBLIC,True,main,2026-07-21T03:28:30Z,Shell,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,4
ACTIVE,yarqa,PUBLIC,False,main,2026-08-31T12:43:51Z,Python,apache-2.0,yes,UNKNOWN,UNKNOWN,UNKNOWN,0,0,3
